Player,Year,Team,Position,Games_Played,Min_Played,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
Angie Hamblin,1998,DET,G-F,6,29,-3.3,.338,.250,.250,8.2,14.3,12.0,1.9,0.0,44.1,24.8,-0.2,0.0,-0.2,-0.259
Kym Hampton,1998,NYL,C,30,745,16.1,.517,.005,.502,9.2,16.0,7.1,2.5,1.8,19.0,20.7,1.1,1.7,2.8,.149
Fran Harris,1998,UTA,G-F,18,353,8.8,.421,.203,.152,4.9,6.6,15.1,2.0,0.2,16.8,13.1,0.1,-0.1,0.0,.002
Kristi Harrower,1998,PHO,G,30,355,10.3,.544,.615,.538,0.7,3.8,24.7,2.3,0.7,32.5,12.3,0.3,0.5,0.7,.083
Dena Head,1998,UTA,G,30,467,10.4,.543,.318,.388,3.7,6.7,14.0,3.4,0.0,30.7,14.0,0.0,0.1,0.1,.009
Korie Hlede,1998,DET,G,27,912,14.8,.489,.214,.299,5.1,9.2,16.2,1.2,0.1,18.4,23.8,1.2,1.0,2.2,.095
Angela Jackson,1998,WAS,C,6,36,13.8,.579,.000,1.000,9.7,6.8,0.0,1.4,4.3,0.0,10.6,0.1,0.0,0.1,.130
Adrienne Johnson,1998,CLE,G,29,330,14.2,.537,.284,.155,7.6,9.8,9.1,1.2,1.0,16.2,21.6,0.5,0.3,0.7,.091
LaTonya Johnson,1998,UTA,F,28,490,7.9,.472,.338,.234,3.5,6.6,7.8,1.2,0.2,20.8,18.8,-0.3,-0.2,-0.6,-0.046
Leslie Johnson,1998,WAS,F,7,15,-14.5,.500,.000,.000,0.0,4.1,12.6,0.0,0.0,66.7,17.7,-0.1,0.0,-0.1,-0.376
Pollyanna Johns Kimbrough,1998,CHA,C,24,180,16.4,.541,.000,.622,9.7,12.7,6.1,0.9,0.9,13.6,17.1,0.5,0.2,0.7,.152
Tiffani Johnson,1998,SAC,C,6,32,-2.4,.129,.000,.667,11.6,19.8,0.0,3.5,0.0,27.9,15.7,-0.2,0.1,-0.1,-0.184
Vickie Johnson,1998,NYL,G-F,30,905,18.7,.518,.171,.251,6.3,8.3,17.6,1.9,0.7,11.0,21.3,3.1,1.2,4.3,.189
Merlakia Jones,1998,CLE,G,30,683,16.1,.528,.085,.345,6.1,9.4,11.4,2.5,0.4,16.1,22.7,1.3,0.8,2.1,.122
Aneta Kausaite,1998,DET,F,10,58,7.5,.303,.100,.350,16.4,11.2,3.1,2.8,0.0,11.5,20.4,-0.1,0.1,0.0,-0.026
Tanja Kostic,1998,CLE,F,5,30,4.1,.644,.000,.667,4.9,4.5,11.2,0.0,0.0,43.6,11.0,0.0,0.0,0.0,-0.032
Andrea Kuklova,1998,PHO,G-F,29,340,8.6,.438,.074,.379,7.0,7.0,17.0,2.9,1.0,26.5,20.3,-0.5,0.5,0.1,.007
Monica Lamb,1998,HOU,C,30,649,15.0,.573,.000,.344,12.5,14.1,2.5,2.1,2.7,16.1,12.3,1.8,1.4,3.2,.198
Lisa Leslie,1998,LAS,C,28,898,28.5,.548,.054,.418,10.3,18.9,17.9,2.5,5.3,16.9,30.0,3.6,2.1,5.7,.255
Rebecca Lobo,1998,NYL,C,30,875,18.4,.544,.139,.331,10.3,15.6,10.7,1.1,3.3,17.2,21.0,2.2,1.6,3.8,.173
Mwadi Mabika,1998,LAS,G,29,710,12.7,.429,.416,.167,4.9,10.7,11.5,2.2,1.0,11.8,19.7,0.6,0.8,1.4,.079
Sharon Manning,1998,CHA,F-C,30,575,15.8,.497,.015,.493,12.9,17.8,9.3,3.0,1.0,20.9,16.6,0.7,1.3,2.0,.141
Rhonda Mapp,1998,CHA,C,21,456,19.7,.557,.061,.366,9.5,12.0,15.0,1.5,1.4,17.0,23.3,1.4,0.6,2.0,.179
